[2024-05-17 18:21:31.743] [info]  [db] Delete hook failed for remove res_f58eade71eec44e2a2afd57d1ae7ba7d: The "path" argument must be of type string or an instance of Buffer or URL. Received undefined
[2024-05-17 18:21:32.940] [info]  [response] Delete body /home/davidlevy/.config/Insomnia/responses/783fc6fe-4d4f-45bd-8249-02a349e9d325.response
[2024-05-17 18:21:32.940] [info]  [response] Delete timeline /home/davidlevy/.config/Insomnia/responses/res_ab6cf3e132914e9083599b1ea5e35376.timeline
[2024-05-17 18:21:41.588] [info]  [response] Delete body /home/davidlevy/.config/Insomnia/responses/22b4f1f9-15af-40b1-b167-616ebfa8b5bb.response
[2024-05-17 18:21:41.589] [info]  [response] Delete timeline /home/davidlevy/.config/Insomnia/responses/res_0f887abb636d430a96c58f70696d4cfe.timeline
[2024-05-17 18:27:40.237] [info]  [db] Delete hook failed for remove res_605aee71399c49ec8aeb238db21a2261: The "path" argument must be of type string or an instance of Buffer or URL. Received undefined
[2024-05-17 18:31:00.779] [info]  [response] Delete body /home/davidlevy/.config/Insomnia/responses/67f7e406-56a0-4133-9946-5f0148b98b7e.response
[2024-05-17 18:31:00.780] [info]  [response] Delete timeline /home/davidlevy/.config/Insomnia/responses/res_f91824b015ff47469f17c9d9f30dc2b8.timeline
[2024-05-17 18:31:10.815] [info]  [db] Delete hook failed for remove res_f5ce569327c54a16bc83a12077f4fa7a: The "path" argument must be of type string or an instance of Buffer or URL. Received undefined
[2024-05-17 18:40:42.873] [info]  [response] Delete body /home/davidlevy/.config/Insomnia/responses/36ec4d57-f247-4ca8-871d-527399f761d0.response
[2024-05-17 18:40:42.873] [info]  [response] Delete timeline /home/davidlevy/.config/Insomnia/responses/res_42d7f3f487f44922849ac164b282c62f.timeline
[2024-05-17 18:43:28.005] [info]  [response] Delete body /home/davidlevy/.config/Insomnia/responses/c8ff2906-0a0d-446c-965f-a5c267b7630b.response
[2024-05-17 18:43:28.005] [info]  [response] Delete timeline /home/davidlevy/.config/Insomnia/responses/res_732162f5ba784739bed24ce8bfb7a8cd.timeline
[2024-05-17 18:43:46.558] [info]  [db] Delete hook failed for remove res_f7daf1a959ee4e7aa40069c1c011f3e8: The "path" argument must be of type string or an instance of Buffer or URL. Received undefined
[2024-05-17 18:43:56.142] [info]  [response] Delete body /home/davidlevy/.config/Insomnia/responses/6602beb0-bd95-48ec-aa7b-0af4b50be0ac.response
[2024-05-17 18:43:56.143] [info]  [response] Delete timeline /home/davidlevy/.config/Insomnia/responses/res_a2765e3fe2294ae8a484871ae7c1abaf.timeline
[2024-05-17 18:46:35.002] [info]  [response] Delete timeline /home/davidlevy/.config/Insomnia/responses/res_70b0b97916b248cda12be289d92aa751.timeline
[2024-05-17 18:46:35.002] [info]  [response] Delete body /home/davidlevy/.config/Insomnia/responses/84a9a545-a57e-4d34-86ca-857a7e057074.response
[2024-05-17 18:46:36.692] [info]  [response] Delete timeline /home/davidlevy/.config/Insomnia/responses/res_52ae636fdffb4dafa2714b47fea265dc.timeline
[2024-05-17 18:46:36.692] [info]  [response] Delete body /home/davidlevy/.config/Insomnia/responses/ef47d9d4-70df-4268-8eb2-8e93df2cd7d2.response
[2024-05-17 18:47:09.117] [info]  [response] Delete body /home/davidlevy/.config/Insomnia/responses/017a5a01-a9e7-438e-bccd-fd3baecb8465.response
[2024-05-17 18:47:09.118] [info]  [response] Delete timeline /home/davidlevy/.config/Insomnia/responses/res_3e9ccff43d634aa58ec46e4c68c1bc9e.timeline
[2024-05-17 18:48:45.061] [info]  [response] Delete body /home/davidlevy/.config/Insomnia/responses/abb12e12-a552-4562-a5dd-d68be8ce7749.response
[2024-05-17 18:48:45.062] [info]  [response] Delete timeline /home/davidlevy/.config/Insomnia/responses/res_42f465bb973e4f81981e8c4e230df577.timeline
[2024-05-17 18:58:15.711] [info]  [response] Delete body /home/davidlevy/.config/Insomnia/responses/6cb436e6-8f04-488a-b98a-ac44f9532495.response
[2024-05-17 18:58:15.711] [info]  [response] Delete timeline /home/davidlevy/.config/Insomnia/responses/res_362547ce1f2f4733a7ddd96c22e13997.timeline
